flywire.id,treenode_id,connector_id,prepost,fw.x,fw.y,fw.z,x,y,z,inside,transmitter,cell.type,ItoLee.Hemilineage,ItoLee.Lineage,Hartenstein.Hemilineage,Hartenstein.Lineage,uid,tracer,group,dataset
720575940619085889,unknown,unknown,0,91487,57385,2145,365730,229563,85800,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,90890,56947,2518,363313,228478,100720,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,92073,59748,1966,367993,239187,78640,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,93796,59652,2067,374730,238448,82680,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,97465,63768,3002,390536,255258,120080,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,96530,44794,3034,386480,179126,121360,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,92806,66635,3426,372205,266387,137040,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,95616,65056,3767,383287,260114,150680,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,92762,53846,2650,371250,215152,106000,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,93856,64935,2113,374889,259623,84520,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,90294,59198,2050,360243,236583,82000,unknown,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,100412,60109,2075,401574,240361,83000,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,97030,54849,2016,387757,219313,80640,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,93314,58505,2413,372418,234011,96520,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,94219,65297,2745,377213,260579,109800,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,98237,61858,1689,393701,247134,67560,unknown,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,98351,58352,2034,393306,233378,81360,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,92834,52971,2349,371334,211720,93960,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,101246,62061,2270,405487,248281,90800,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,95106,64062,2359,380448,256084,94360,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,90378,59878,2865,360665,239421,114600,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,91190,59910,2485,363805,240545,99400,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,93371,59301,2720,374161,236585,108800,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,89775,60374,2498,358449,242670,99920,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,94957,68030,3698,380602,271781,147920,WED_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,91614,61074,2182,366353,244408,87280,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,95345,62204,2749,381793,248530,109960,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,100642,69012,3629,402931,275964,145160,WED_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,92540,56904,2089,369391,227312,83560,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,94451,62129,2171,377486,248489,86840,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,90575,64622,3358,363564,258972,134320,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,94814,65280,2160,379092,261437,86400,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
720575940619085889,unknown,unknown,0,93470,56969,2117,373401,227452,84680,AVLP_R,serotonin,5-HTPLP01,VLPp1,VLPp1,VLPp1,VLPp1,283,Imaan Tamimi,Jefferis,flywire
