body,x,y,z,conf,syn_id
10311,23629,22762,10479,0.899,46087177125256269
10311,23746,22806,10462,0.954,46012410426842306
10311,16867,22939,10481,0.783,46095973589467619
10311,23262,24273,10474,0.948,46065190061497054
10311,25194,24897,10482,0.818,46100375742210666
10311,23396,25646,10483,0.842,46104775359486820
10311,20375,21708,10533,0.849,46324669426454423
10311,24839,24463,10548,0.916,46390645901779207
10311,22842,24824,10511,0.852,46227918937938234
10311,18940,20803,10619,0.903,46702899528485372
10311,23910,21605,10561,0.765,46447814512762214
10311,25192,22854,10583,0.811,46544574155350632
10311,18156,24410,10588,0.826,46566567651067628
10311,25103,24902,10563,0.915,46456617520095759
10311,24676,25025,10612,0.937,46672122057089124
10311,24726,25271,10592,0.909,46584161642766486
10311,22884,25830,10568,0.807,46478609698806116
10311,18645,19404,10660,0.894,46883216501524693
10311,19249,21216,10663,0.873,46896414441098033
10311,20436,21879,10677,0.939,46957988482666452
10311,25074,23619,10639,0.923,46790866364293618
10311,24424,24052,10680,0.78,46971187179315048
10311,24925,24017,10625,0.865,46729294547804509
10311,24257,24177,10669,0.775,46922808929836737
10311,18580,25115,10666,0.887,46909616757426324
10311,20170,20076,10710,0.881,47103120236367562
10311,25230,22704,10732,0.894,47199882770932366
10311,23519,23155,10724,0.922,47164699344657375
10311,27324,24817,10739,0.897,47230673527794364
10311,25790,26119,10706,0.838,47085540723418302
10311,25603,26225,10703,0.879,47072346806182915
10311,25601,26246,10735,0.751,47213084338578433
10311,25433,26349,10731,0.754,47195492368540505
10311,20708,20478,10757,0.908,47309829265445092
10311,20351,21820,10756,0.761,47305434033311615
10311,25080,22565,10757,0.912,47309833642205688
10311,18952,23005,10783,0.885,47424183774235144
10311,16709,23112,10810,0.805,47542931254427973
10311,25249,23202,10779,0.887,47406592001335969
10311,25065,23811,10757,0.867,47309836255257065
10311,23301,24179,10807,0.817,47529739352562437
10311,24511,25664,10769,0.872,47362616699412415
10311,25603,26539,10784,0.848,47428589232088067
10311,20765,20201,10856,0.948,47745235289133341
10311,20080,21077,10836,0.936,47657276196015728
10311,21151,22714,10826,0.882,47613299163943583
10311,25284,22761,10848,0.912,47710056285758148
10311,16700,23273,10820,0.87,47586912057180476
10311,25218,23334,10841,0.816,47679271161848450
10311,23695,24684,10867,0.934,47793623202290831
10311,27381,24914,10848,0.759,47710060800928501
10311,19719,20542,10938,0.9,48105875818171655
10311,23140,24095,10896,0.837,47921165315889764
10311,25229,24233,10929,0.849,48066301140165261
10311,23177,25522,10901,0.777,47943158541081225
10311,26058,26135,10931,0.823,48075101221971402
10311,20214,21313,10976,0.907,48273003202498294
10311,20485,21830,11006,0.856,48404945682059269
10311,20219,21592,11041,0.872,48558876810825467
10311,24719,24990,11016,0.819,48448932774174863
10311,23977,25331,11056,0.933,48624855349747113
10311,23800,21992,11126,0.91,48932711603133688
10311,25146,24129,11075,0.834,48708415712682554
10311,24477,25711,11083,0.883,48743603402465181
10311,21141,22725,11171,0.844,49130625233343125
10311,23247,22959,11192,0.905,49222984700811983
10311,24886,24943,11141,0.894,48998688489496886
10311,21255,21833,11237,0.91,49420894432416519
10311,16775,22870,11236,0.789,49416498560647559
10311,23502,23284,11240,0.846,49434091614919630
10311,25183,25039,11212,0.827,49310949993112159
10311,18552,25285,11221,0.898,49350532927604856
10311,22785,25912,11209,0.803,49297757684390145
10311,21033,20789,11301,0.826,49702367219700265
10311,20541,21080,11282,0.905,49618804946260029
10311,20512,21850,11298,0.84,49689175305244704
10311,25339,22391,11312,0.908,49750749090964219
10311,23609,22682,11297,0.895,49684779003567161
10311,18949,23363,11279,0.908,49605615594523141
10311,28156,24319,11279,0.755,49605617599409660
10311,23546,24828,11286,0.756,49636404992433146
10311,23547,24902,11282,0.893,49618812961577979
10311,25401,25175,11318,0.885,49777143208502073
10311,18593,25361,11323,0.811,49799133831121057
10311,24758,25948,11312,0.869,49750756550533302
10311,21148,21710,11337,0.75,49860698825577116
10311,27983,22585,11340,0.873,49873894800125263
10311,23427,22988,11339,0.823,49869497598761859
10311,24748,25004,11365,0.752,49983851035910316
10311,20119,21839,11410,0.845,50181756491419287
10311,24376,22100,11448,0.855,50348882806202168
10311,28067,22852,11396,0.948,50120185964686755
10311,17518,23498,11401,0.778,50142177551991918
10311,22780,24275,11419,0.789,50221344018684156
10311,22823,25836,11454,0.952,50375278920227111
10311,24908,21980,11479,0.825,50485221996388684
10311,20439,23030,11484,0.815,50507214430949335
10311,23546,22988,11484,0.922,50507214342872058
10311,25084,24162,11498,0.807,50568789456085500
10311,24738,24947,11482,0.917,50498422358171810
10311,25687,25308,11484,0.871,50507219208266839
10311,21184,20896,11520,0.805,50665539630027456
10311,20848,21309,11533,0.803,50722715100795248
10311,22409,23810,11536,0.778,50735914485307273
10311,24500,25007,11580,0.774,50929431042088884
